name,id,sub1,sub2,sub3,marks,percentage,result,course_enrollment_date,study_hrs_per_day,age,grade,random_color,device_id
     POOJA NAIDU     ,       849        ,   74   ,   None   ,   88   ,   255   ,   N/A   ,   Pass   ,   None   ,   1.7   ,   58   ,   A    ,   black   ,   870BBAC2   
     MEENA REDDY     ,     S850X     ,   49   ,   39   ,   91   ,   49+39+91   ,   59.67%   ,   Pass   ,   10/11/2019   ,   None   ,   10   ,   Average   ,   white   ,   6D4F950E   
     VARUN REDDY     ,     00851     ,   138   ,   -18   ,   40   ,   162   ,   54.0   ,   Pass   ,   2023-05-23   ,   0.9   ,   18   ,   None   ,   yellow   ,   16DC2D67   
      harika agarwal      ,   852   ,   81   ,   None   ,   47   ,   81+None+47   ,   55.0   ,   Pass   ,   09-15-2020   ,   2.7   ,   16.5   ,   Average   ,   green   ,   9D7D5652   
     Meena Varma      ,     00853     ,   87   ,   54   ,   48   ,   87+54+48   ,   63.0   ,   Pass   ,   01-10-2021   ,    two    ,   46   ,   Good   ,   red   ,   None   
     HARIKA SHARMA     ,    STU-0854    ,   43   ,   95   ,   -24   ,   43+95+-24   ,   74.0   ,   Pass   ,"   October 11, 2024   ",   3.5   ,   18.5   ,   B   ,   black   ,   id_missing   
     MEENA VARMA     ,     id_855    ,   86   ,   79   ,   107   ,   86+79+107   ,   73.33   ,   Pass   ,   27-May-2022   ,   None   ,   16   ,   B   ,   blue   ,   DF124EEE   
     RAHUL RAO     ,     S856X     ,   91   ,   96   ,   35   ,   missing   ,   74.0   ,   Pass   ,   None   ,   5.2   ,   16   ,   Good   ,   green   ,   F0FAAA5D   
     ANITA RAO     ,   None   ,   60   ,   78   ,   33   ,   60+78+33   ,   57.0   ,   Pass   ,   2022-11-25   ,   None   ,   17   ,   C   ,   green   ,   18BC9FEB   
     Vikram Gupta      ,   858   ,   75   ,   65   ,   58   ,   75+65+58   ,   66.0   ,   Pass   ,   03-31-2021   ,   2.6   ,     17 years    ,   Good   ,   white   ,   A27F5F62   
      kiran goud      ,       859        ,   None   ,   150   ,   88   ,   None+150+88   ,   84.67   ,   Pass   ,   07-20-2020   ,   None   ,   65   ,   A    ,   black   ,   F4D08C5B   
     PRASAD GUPTA     ,   None   ,   97   ,   70   ,   46   ,   97+70+46   ,   71.0   ,   Pass   ,   26-Nov-2021   ,    0    ,   18   ,   None   ,   yellow   ,   384D58B2   
      prasad naidu      ,   None   ,   59   ,   91   ,   72   ,   59+91+72   ,   74.0   ,   Pass   ,   27-Nov-2020   ,   5.8   ,   10   ,   B   ,   yellow   ,   F59D5AD2   
     Divya Reddy      ,     S862X     ,   72   ,   39   ,   107   ,   72+39+107   ,   68.67   ,   Pass   ,"   June 02, 2023   ",    0    ,   19   ,   B   ,   yellow   ,   E8789815   
     SNEHA REDDY     ,   863   ,   36   ,   50   ,   63   ,   149   ,   None   ,   Pass   ,   09-06-2024   ,   5.0   ,   18   ,   Below Avg   ,   None   ,   8B082A35   
     SURESH VARMA     ,   864   ,   41   ,   65   ,   37   ,   41+65+37   ,   None   ,   Pass   ,   None   ,   5.9   ,     19 years    ,   D   ,   black   ,   CA365504   
      vikram agarwal      ,       865        ,   68   ,   ?   ,   42   ,   68+?+42   ,   50.33   ,   Pass   ,   16/12/2024   ,   None   ,   16   ,   None   ,   black   ,   79C6060E   
      divya agarwal      ,     id_866    ,   51   ,   31   ,   37   ,   51+31+37   ,   39.67   ,   Fail   ,   07-02-2021   ,   0.1   ,   18   ,   F   ,   yellow   ,   XXXXXXXX   
      varun sharma      ,     S867X     ,   77   ,   42   ,   AB   ,   77+42+AB   ,   71.0   ,   Pass   ,   2021-04-17   ,   None   ,   19   ,   Good   ,   yellow   ,   2ED52CAD   
      devika varma      ,     S868X     ,   93   ,   82   ,   72   ,   247   ,   82.33%   ,   Pass   ,   17/08/2019   ,     6.5 hrs    ,   19.5   ,   Distinction   ,      ,   None   
     DEVIKA SHARMA     ,     00869     ,   85   ,   61   ,   68   ,   85+61+68   ,   71.33   ,   Pass   ,   02-Sep-2024   ,     2.2 hrs    ,   17   ,   Good   ,   None   ,   72AF3FB5   
      kiran varma      ,     S870X     ,   88   ,   45   ,   88   ,   missing   ,   incomplete   ,   Pass   ,   2021-11-22   ,   5.9   ,   17   ,   B+   ,   red   ,   2503FA77   
      varun khan      ,       871        ,   58   ,   61   ,   73   ,   192   ,   64.0   ,   Pass   ,   None   ,     3.0 hrs    ,   17.5   ,   B+   ,   green   ,   0000   
     Lokesh Sharma      ,   None   ,   59   ,   61   ,   38   ,   59+61+38   ,   52.67   ,   Pass   ,   None   ,   4.2   ,   18   ,   Average   ,   green   ,   None   
      anita naidu      ,       873        ,   86   ,   40   ,   AB   ,   86+40+AB   ,   64.0   ,   Pass   ,   2024-01-24   ,   0.5   ,   16   ,   Good   ,   black   ,   DE366CD5   
      divya agarwal      ,   874   ,   67   ,   39   ,   65   ,   67+39+65   ,   57.0   ,   Pass   ,   2020-08-17   ,   34.1   ,   16   ,   None   ,   black   ,   F8BCC7D1   
      rahul agarwal      ,     S875X     ,   83   ,   44   ,   57   ,   83+44+57   ,   61.33%   ,   Pass   ,"   September 22, 2024   ",   7.7   ,     17 years    ,   Good   ,   None   ,   54ACC03B   
      shiva varma      ,     S876X     ,   AB   ,   46   ,   71   ,   AB+46+71   ,   103.47   ,   Pass   ,   20/02/2024   ,   26.6   ,   17.5   ,   C   ,   blue   ,   BD89B256   
      vikram goud      ,     00877     ,   AB   ,   69   ,   AB   ,   AB+69+AB   ,   79.33   ,   Pass   ,"   April 01, 2024   ",   5.2   ,   17.5   ,   A    ,   red   ,   30A764AD   
     VARUN REDDY     ,    STU-0878    ,   138   ,   47   ,   71   ,   174   ,   58.0%   ,   Pass   ,   19-Mar-2021   ,   3.7   ,   19   ,   Average   ,   None   ,   BC4A99B5   
     DIVYA RAO     ,     S879X     ,   60   ,   84   ,   95   ,   60+84+95   ,   79.67   ,   Pass   ,"   March 26, 2020   ",   5.4   ,   17   ,   A+   ,   red   ,   F5D131CF   
     Pooja Khan      ,     00880     ,   62   ,   54   ,   84   ,   62+54+84   ,   66.67   ,   Pass   ,   2019-02-08   ,    two    ,   19   ,   B   ,   red   ,   CA54B7BE   
     VARUN GUPTA     ,     00881     ,   83   ,   88   ,   107   ,   missing   ,   None   ,   Pass   ,   None   ,     4.5 hrs    ,   16   ,   Distinction   ,   green   ,   27C8A0C4   
     SNEHA AGARWAL     ,    STU-0882    ,   83   ,   51   ,   None   ,   83+51+None   ,   61.67   ,   Pass   ,   2018-03-09   ,   0.5   ,   None   ,   B+   ,   blue   ,   D8087BCB   
     MEENA SHARMA     ,       883        ,   54   ,   59   ,   56   ,   check   ,   56.33   ,   Pass   ,   03-29-2018   ,   None   ,   18   ,   Average   ,   white   ,   B9F3B888   
     Naveen Agarwal      ,       884        ,   97   ,   150   ,   96   ,   97+150+96   ,   88.67   ,   Pass   ,   03-14-2024   ,   6.2   ,   18.5   ,   Distinction   ,   white   ,   3C234C4E   
     NAVEEN AGARWAL     ,       885        ,   95   ,   61   ,   42   ,   198   ,   66.0   ,   Pass   ,   11/08/2023   ,   None   ,   18   ,   Good   ,   white   ,   0000   
      sanjana reddy      ,     id_886    ,   138   ,   ?   ,   74   ,   138+?+74   ,   79.0   ,   Pass   ,"   March 04, 2021   ",   0.1   ,   19   ,   A   ,   green   ,   BA8C4F05   
      harika naidu      ,       887        ,   None   ,   75   ,   39   ,   None+75+39   ,   49.67   ,   Pass   ,   17/09/2022   ,   5.8   ,   19   ,   D   ,   yellow   ,   61B39EB9   
     KIRAN PATEL     ,    STU-0888    ,   -10   ,   50   ,   38   ,   135   ,   45.0   ,   Pass   ,   06/10/2021   ,    0    ,   17   ,   Below Avg   ,   yellow   ,   C0F0506F   
     MEENA GOUD     ,     id_889    ,   85   ,   61   ,   83   ,   229   ,   76.33   ,   Pass   ,   28/12/2023   ,   None   ,   None   ,   A    ,   yellow   ,   64D01227   
     Rahul Rao      ,       890        ,   90   ,   68   ,   56   ,   214   ,   117.46   ,   Pass   ,   21/12/2023   ,   1.0   ,   17   ,   B+   ,   multi   ,   0303555D   
     SNEHA RAO     ,     id_891    ,   96   ,   150   ,   63   ,   N/A   ,   66.67   ,   Pass   ,   2022-07-02   ,    0    ,   17   ,   B+   ,   blue   ,   None   
     POOJA SHARMA     ,    STU-0892    ,   66   ,   -18   ,   30   ,   66+-18+30   ,   149.17   ,   Pass   ,   06-27-2018   ,   2.8   ,   18   ,   C   ,   blue   ,   777EC798   
     SHIVA RAO     ,       893        ,   64   ,   150   ,   61   ,   64+150+61   ,   57.33   ,   Pass   ,   10-13-2021   ,   2.4   ,   19   ,   Average   ,   black   ,   D7AC950A   
     Vikram Reddy      ,   894   ,   63   ,   50   ,   96   ,   error   ,   69.67   ,   Pass   ,   08-24-2024   ,    two    ,   None   ,   B   ,   red   ,   9F54B77A   
     Meena Agarwal      ,     S895X     ,   83   ,   42   ,   107   ,   174   ,   58.0   ,   Pass   ,"   June 26, 2020   ",   36.5   ,     17 years    ,   C   ,   white   ,   dev-123   
     AKASH GUPTA     ,    STU-0896    ,   79   ,   50   ,   64   ,   missing   ,   64.33   ,   Pass   ,   11-02-2024   ,   4.7   ,   55   ,   None   ,   yellow   ,   55E0F65E   
      lokesh naidu      ,     00897     ,   64   ,   150   ,   -24   ,   300/300   ,   49.0   ,   Pass   ,   2019-08-09   ,   -7.5   ,   16   ,   D   ,   white   ,   None   
     Teja Gupta      ,     00898     ,   50   ,   75   ,   47   ,   300/300   ,   -1.38   ,   Pass   ,   2024-11-15   ,   2.8   ,   16   ,   Average   ,   yellow   ,   8278250C   
     SNEHA NAIDU     ,    STU-0899    ,   74   ,   None   ,   74   ,   184   ,   61.33   ,   Pass   ,   16-Sep-2020   ,   2.0   ,   17   ,   B+   ,   white   ,   929CD3DC   
     KIRAN GOUD     ,     00900     ,   53   ,   ?   ,   107   ,   53+?+107   ,   62.33   ,   Pass   ,   02-05-2021   ,   5.2   ,   None   ,   Good   ,   red   ,   52771F47   
     ROHIT REDDY     ,    STU-0901    ,   52   ,   51   ,   None   ,   200   ,   150.93   ,   Pass   ,   10-Dec-2023   ,    two    ,   16   ,   B   ,   white   ,   C64DBB37   
      rohit reddy      ,   902   ,   35   ,   51   ,   94   ,   300/300   ,   60.0   ,   Pass   ,"   August 27, 2023   ",   None   ,   17   ,   Average   ,   white   ,   AE2B36E2   
      akash goud      ,    STU-0903    ,   81   ,   -18   ,   30   ,   81+-18+30   ,   129.92   ,   Pass   ,   None   ,   1.8   ,   None   ,   Average   ,   green   ,   None   
      naveen patel      ,       904        ,   72   ,   ?   ,   87   ,   72+?+87   ,   67.0   ,   Pass   ,   02-Jul-2024   ,   0.6   ,   43   ,   B+   ,   white   ,   F9AFE0D6   
      sanjana naidu      ,       905        ,   85   ,   31   ,   55   ,   85+31+55   ,   57.0   ,   Pass   ,"   November 14, 2018   ",   6.6   ,   17   ,   C   ,   None   ,   595B05B6   
      suresh reddy      ,     id_906    ,   97   ,   58   ,   49   ,   97+58+49   ,   139.61   ,   Pass   ,   11-Feb-2022   ,   None   ,   8   ,   Good   ,   blue   ,   C3037EC1   
     ROHIT GOUD     ,     00907     ,   38   ,   81   ,   AB   ,   missing   ,   123.09   ,   Pass   ,   28/07/2023   ,   3.8   ,   11   ,   Average   ,   black   ,   8B58646C   
     MEENA REDDY     ,     S908X     ,   35   ,   56   ,   88   ,   missing   ,   59.67%   ,   Pass   ,   05/08/2023   ,   0.3   ,   10   ,   C   ,   white   ,   92548F6F   
     AKASH GOUD     ,     00909     ,   42   ,   79   ,   70   ,   42+79+70   ,   63.67   ,   Pass   ,"   May 18, 2019   ",   27.2   ,   None   ,   Good   ,   blue   ,   F70860D3   
      anita rao      ,    STU-0910    ,   63   ,   -18   ,   34   ,   63+-18+34   ,   49.67   ,   Pass   ,   None   ,   2.6   ,   19   ,   D   ,   green   ,   BC416C72   
     VARUN PATEL     ,     S911X     ,   89   ,   73   ,   107   ,   89+73+107   ,   85.33   ,   Pass   ,   04-29-2018   ,   6.0   ,   18   ,   A   ,   white   ,   96BBF8CE   
     Lokesh Patel      ,     S912X     ,   138   ,   51   ,   107   ,   134   ,   -23.4   ,   Pass   ,   None   ,   None   ,   17   ,   None   ,   unknown   ,   FBC6E1E8   
     AKASH GUPTA     ,     00913     ,   66   ,   72   ,   51   ,   66+72+51   ,   63.0%   ,   Pass   ,"   February 14, 2018   ",   1.6   ,   19   ,   B+   ,   red   ,   4CB3A707   
     PRASAD NAIDU     ,     S914X     ,   44   ,   66   ,   70   ,   180   ,   60.0   ,   Pass   ,   11-10-2018   ,   4.1   ,   19.5   ,   C   ,   multi   ,   0000   
     MEENA AGARWAL     ,     S915X     ,   68   ,   90   ,   97   ,   255   ,   85.0   ,   Pass   ,   22-Feb-2019   ,   1.0   ,   62   ,   A+   ,   yellow   ,   E84345D7   
      suresh sharma      ,       916        ,   89   ,   85   ,   98   ,   89+85+98   ,   90.67   ,   Pass   ,"   January 06, 2021   ",   3.5   ,     19 years    ,   A    ,   yellow   ,   A7EC0B01   
     VARUN SHARMA     ,   917   ,   66   ,   32   ,   40   ,   66+32+40   ,   46.0   ,   Pass   ,"   November 22, 2018   ",   2.5   ,   17   ,   Below Avg   ,   red   ,   B1481B58   
     VARUN KHAN     ,    STU-0918    ,   84   ,   92   ,   107   ,   84+92+107   ,   87.0   ,   Pass   ,   None   ,     7.3 hrs    ,   17   ,   Distinction   ,   N/A   ,   86DFF915   
     TEJA AGARWAL     ,     00919     ,   41   ,   48   ,   80   ,   41+48+80   ,   56.33   ,   Pass   ,   10-Jun-2023   ,    two    ,   16   ,   C   ,   N/A   ,   1EAC14FA   
     DEVIKA RAO     ,       920        ,   42   ,   ?   ,   50   ,   42+?+50   ,   48.0   ,   Pass   ,   03-11-2024   ,   5.6   ,   19   ,   Below Avg   ,   yellow   ,   308F01A7   
     ANITA SHARMA     ,     id_921    ,   -10   ,   58   ,   55   ,   212   ,   70.67   ,   Pass   ,   03-15-2018   ,   None   ,   19   ,   Good   ,   black   ,   id_missing   
     Akash Goud      ,     S922X     ,   AB   ,   None   ,   48   ,   AB+None+48   ,   66.0   ,   Pass   ,   05-22-2022   ,   2.6   ,   None   ,   Good   ,   blue   ,   5724E7B8   
     DEVIKA NAIDU     ,     S923X     ,   93   ,   68   ,   107   ,   93+68+107   ,   83.33   ,   Pass   ,   None   ,   3.3   ,   18.5   ,   Distinction   ,   green   ,   F6CF015C   
     Divya Patel      ,     00924     ,   88   ,   54   ,   76   ,   88+54+76   ,   null   ,   Pass   ,   None   ,    two    ,   6   ,   Good   ,   white   ,   5F50A63B   
     TEJA NAIDU     ,   925   ,   85   ,   37   ,   55   ,   300/300   ,   59.0   ,   Pass   ,   19/11/2019   ,   1.9   ,   17   ,   Average   ,   blue   ,   43F9955F   
     MEENA NAIDU     ,   926   ,   42   ,   87   ,   69   ,   42+87+69   ,   66.0   ,   Pass   ,   19/10/2019   ,   0.7   ,   17   ,   B+   ,   green   ,   C1C7B902   
      kiran rao      ,     00927     ,   68   ,   45   ,   34   ,   68+45+34   ,   49.0   ,   Pass   ,   None   ,    0    ,   18   ,   None   ,   yellow   ,   A17C19BD   
      divya patel      ,     00928     ,   -10   ,   30   ,   50   ,   -10+30+50   ,   49.67   ,   Pass   ,"   July 16, 2021   ",   0.8   ,   18   ,   Below Avg   ,   black   ,   902C0F99   
     SURESH REDDY     ,       929        ,   66   ,   34   ,   33   ,   66+34+33   ,   44.33   ,   Pass   ,"   October 31, 2021   ",   1.0   ,   19   ,   None   ,   N/A   ,   3A7A8275   
     SNEHA PATEL     ,     00930     ,   80   ,   32   ,   52   ,   80+32+52   ,   54.67   ,   Pass   ,   02/04/2022   ,   4.6   ,   16   ,   C   ,   yellow   ,   410F226B   
     MEENA AGARWAL     ,     id_931    ,   50   ,   150   ,   44   ,   50+150+44   ,   62.67   ,   Pass   ,"   December 11, 2020   ",   0.5   ,   9   ,   B   ,   green   ,   C0C32075   
     Teja Reddy      ,       932        ,   71   ,   33   ,   37   ,   141   ,   47.0   ,   Pass   ,   21-Nov-2018   ,   None   ,   18   ,   D   ,   unknown   ,   0E38796B   
     VIKRAM KHAN     ,     S933X     ,   88   ,   -18   ,   70   ,   88+-18+70   ,   83.67   ,   Pass   ,"   September 18, 2020   ",   None   ,   11   ,   A+   ,   white   ,   430168B1   
      lokesh reddy      ,   None   ,   48   ,   150   ,   48   ,   48+150+48   ,   140.72   ,   Pass   ,   2023-06-17   ,   None   ,   None   ,   D   ,   blue   ,   3AE0D10D   
      vikram sharma      ,     S935X     ,   89   ,   50   ,   75   ,   89+50+75   ,   -8.2   ,   Pass   ,   12-18-2019   ,   1.0   ,   49   ,   Good   ,   yellow   ,   1B980755   
      pooja rao      ,     S936X     ,   82   ,   75   ,   -24   ,   82+75+-24   ,   71.33   ,   Pass   ,   04-Oct-2018   ,   27.6   ,   16   ,   B   ,   blue   ,   AFDE8E76   
     MEENA PATEL     ,    STU-0937    ,   41   ,   56   ,   97   ,   41+56+97   ,   64.67   ,   Pass   ,   01-Jun-2018   ,   5.1   ,   18   ,   B+   ,   white   ,   0D80ACF7   
      shiva reddy      ,     id_938    ,   41   ,   95   ,   44   ,   41+95+44   ,   60.0   ,   Pass   ,   08-12-2020   ,     2.2 hrs    ,   19   ,   Average   ,   black   ,   73F99D9D   
     Divya Gupta      ,       939        ,   67   ,   70   ,   66   ,   67+70+66   ,   67.67   ,   Pass   ,   02-15-2022   ,    two    ,   7   ,   B   ,   black   ,   4763C49C   
     LOKESH RAO     ,       940        ,   57   ,   150   ,   30   ,   missing   ,   43.0   ,   Pass   ,   16-Sep-2018   ,   1.0   ,   64   ,   Below Avg   ,   yellow   ,   820B6246   
      meena naidu      ,     S941X     ,   53   ,   38   ,   96   ,   53+38+96   ,   62.33   ,   Pass   ,   None   ,   -4.7   ,   16   ,   B   ,   green   ,   dev-123   
     SNEHA KHAN     ,   942   ,   138   ,   65   ,   53   ,   138+65+53   ,   57.0   ,   Pass   ,"   May 18, 2020   ",   2.5   ,   None   ,   C   ,   yellow   ,   43A58B05   
     Vikram Agarwal      ,       943        ,   70   ,   87   ,   56   ,   213   ,   71.0   ,   Pass   ,   06-Apr-2021   ,   -5.0   ,   18   ,   Good   ,   black   ,   C14FD8E2   
     MEENA PATEL     ,     id_944    ,   63   ,   83   ,   69   ,   63+83+69   ,   71.67   ,   Pass   ,"   November 19, 2019   ",   37.8   ,   19   ,   Good   ,   red   ,   D6664E84   
     Akash Goud      ,     00945     ,   94   ,   41   ,   92   ,   94+41+92   ,   75.67   ,   Pass   ,   06-Nov-2018   ,   4.9   ,   16   ,   A   ,   red   ,   None   
     POOJA SHARMA     ,     id_946    ,   36   ,   43   ,   107   ,   169   ,   113.1   ,   Pass   ,   None   ,   2.4   ,   17   ,   C   ,   blue   ,   B1F701AB   
      rahul gupta      ,     S947X     ,   35   ,   None   ,   65   ,   35+None+65   ,   54.33   ,   Pass   ,   18-Apr-2019   ,   2.0   ,   None   ,   C   ,   white   ,   None   
      prasad agarwal      ,     S948X     ,   81   ,   82   ,   53   ,   81+82+53   ,   72.0   ,   Pass   ,   13/11/2024   ,   2.6   ,   18   ,   B   ,   blue   ,   None   
     HARIKA AGARWAL     ,    STU-0949    ,   54   ,   49   ,   None   ,   54+49+None   ,   52.0   ,   Pass   ,   03-24-2020   ,   1.3   ,   18   ,   Average   ,   red   ,   32C58DAA   
     ANITA GOUD     ,       950        ,   45   ,   45   ,   33   ,   45+45+33   ,   41.0   ,   Pass   ,   04-25-2020   ,   1.4   ,     18 years    ,   None   ,   black   ,   2C7BDFD5   
     Suresh Naidu      ,       951        ,   -10   ,   150   ,   96   ,   231   ,   77.0   ,   Pass   ,"   March 10, 2021   ",   6.3   ,   16   ,   A+   ,   blue   ,   9E19F2E5   
     ROHIT KHAN     ,       952        ,   46   ,   85   ,   None   ,   46+85+None   ,   64.67%   ,   Pass   ,   29/10/2019   ,   3.1   ,   19.5   ,   B   ,   yellow   ,   120DC48E   
     DEVIKA NAIDU     ,     S953X     ,   54   ,   87   ,   AB   ,   error   ,   None   ,   Pass   ,   28-Apr-2024   ,     3.5 hrs    ,   18   ,   A    ,   white   ,   id_missing   
     Rohit Sharma      ,       954        ,   39   ,   33   ,   78   ,   39+33+78   ,   N/A   ,   Pass   ,"   December 14, 2022   ",   4.8   ,   6   ,   Below Avg   ,   None   ,   0573303F   
     VIKRAM SHARMA     ,   955   ,   71   ,   33   ,   82   ,   71+33+82   ,   62.0   ,   Pass   ,   14/12/2021   ,   4.7   ,   16   ,   None   ,   white   ,   4BCA23E7   
     LOKESH GUPTA     ,   956   ,   72   ,   49   ,   52   ,   72+49+52   ,   116.61   ,   Pass   ,   03/11/2022   ,   0.5   ,   17   ,   Average   ,   black   ,   49FACF6F   
     LOKESH SHARMA     ,     00957     ,   43   ,   39   ,   98   ,   43+39+98   ,   60.0   ,   Pass   ,"   June 18, 2021   ",     6.7 hrs    ,   17.5   ,   Average   ,   blue   ,   B4F6BFAF   
     AKASH RAO     ,       958        ,   AB   ,   53   ,   82   ,   AB+53+82   ,   74.0   ,   Pass   ,   2018-12-21   ,    0    ,     19 years    ,   None   ,   white   ,   1682032B   
     Sneha Agarwal      ,    STU-0959    ,   78   ,   150   ,   91   ,   78+150+91   ,   74.67%   ,   Pass   ,   16-Feb-2023   ,    0    ,   19   ,   None   ,   yellow   ,   E387B806   
      sanjana goud      ,     00960     ,   None   ,   -18   ,   70   ,   None+-18+70   ,   64.67   ,   Pass   ,"   July 18, 2023   ",   6.2   ,   18   ,   Good   ,      ,   FFD6190B   
      devika gupta      ,     S961X     ,   64   ,   83   ,   86   ,   233   ,   absent   ,   Pass   ,   None   ,     5.7 hrs    ,   16   ,   A   ,   blue   ,   None   
     TEJA RAO     ,       962        ,   93   ,   50   ,   89   ,   232   ,   77.33   ,   Pass   ,   03-07-2018   ,   26.9   ,   18   ,   A+   ,   yellow   ,   8E7088A4   
      naveen varma      ,   963   ,   48   ,   67   ,   83   ,   48+67+83   ,   66.0   ,   Pass   ,   30-Mar-2020   ,    0    ,   19   ,   B+   ,   red   ,   None   
     ANITA VARMA     ,    STU-0964    ,   43   ,   75   ,   99   ,   check   ,   72.33   ,   Pass   ,"   October 03, 2021   ",   2.9   ,   16   ,   None   ,   white   ,   F305179B   
      vikram varma      ,     00965     ,   74   ,   33   ,   86   ,   300/300   ,   64.33   ,   Pass   ,   06-20-2018   ,   4.8   ,     16 years    ,   Good   ,   yellow   ,   F3AAABF5   
      prasad reddy      ,    STU-0966    ,   59   ,   None   ,   39   ,   59+None+39   ,   None   ,   Pass   ,   11-26-2024   ,   None   ,   19   ,   B   ,   black   ,   0CD8F898   
      meena agarwal      ,       967        ,   56   ,   86   ,   69   ,   211   ,   70.33   ,   Pass   ,"   October 22, 2021   ",   6.9   ,   17   ,   B+   ,   green   ,   7E6B9BF3   
     Shiva Rao      ,     id_968    ,   38   ,   74   ,   36   ,   148   ,   49.33   ,   Pass   ,   04/02/2021   ,   None   ,   None   ,   Below Avg   ,   yellow   ,   6ECC1C76   
     Lokesh Agarwal      ,    STU-0969    ,   None   ,   49   ,   67   ,   error   ,   58.67   ,   Pass   ,   10-22-2024   ,   None   ,   16   ,   C   ,   blue   ,   8901B234   
      vikram khan      ,    STU-0970    ,   92   ,   46   ,   90   ,   92+46+90   ,   76.0   ,   Pass   ,   04-14-2020   ,   2.1   ,   11   ,   Distinction   ,   blue   ,   9F5DEEB2   
     SNEHA SHARMA     ,     S971X     ,   63   ,   33   ,   32   ,   63+33+32   ,   42.67   ,   Pass   ,   None   ,   2.7   ,   55   ,   Below Avg   ,   None   ,   745DB9AA   
      devika patel      ,   972   ,   71   ,   None   ,   80   ,   71+None+80   ,   64.67   ,   Pass   ,"   March 18, 2019   ",   4.5   ,   18.5   ,   Good   ,   green   ,   D7DBD327   
     Prasad Agarwal      ,       973        ,   52   ,   32   ,   -24   ,   52+32+-24   ,   53.33   ,   Pass   ,   2024-09-09   ,   5.7   ,   17   ,   Average   ,   yellow   ,   6E1C28DF   
     Varun Patel      ,    STU-0974    ,   76   ,   87   ,   97   ,   260   ,   None   ,   Pass   ,   12-29-2019   ,   5.3   ,   17   ,   A   ,   green   ,   9726DECE   
      shiva sharma      ,       975        ,   75   ,   84   ,   67   ,   75+84+67   ,   75.33   ,   Pass   ,   05-24-2022   ,     6.5 hrs    ,   18   ,   A   ,   green   ,   74C85D8C   
      vikram rao      ,   976   ,   72   ,   33   ,   65   ,   72+33+65   ,   56.67   ,   Pass   ,   11-02-2023   ,    two    ,   56   ,   C   ,   black   ,   A41E8B0C   
     SNEHA NAIDU     ,     S977X     ,   68   ,   53   ,   70   ,   191   ,   63.67   ,   Pass   ,"   November 02, 2020   ",     6.5 hrs    ,   17   ,   B   ,   white   ,   22AEB450   
     Lokesh Agarwal      ,       978        ,   51   ,   150   ,   98   ,   51+150+98   ,   70.67   ,   Pass   ,"   January 07, 2023   ",   0.2   ,   17.5   ,   B   ,   blue   ,   dev-123   
     MEENA GUPTA     ,   979   ,   71   ,   150   ,   42   ,   71+150+42   ,   57.33   ,   Pass   ,"   January 23, 2023   ",    two    ,   18.5   ,   C   ,   blue   ,   9DAAEBBD   
     Sanjana Khan      ,   980   ,   59   ,   -18   ,   87   ,   59+-18+87   ,   -12.44   ,   Pass   ,   08/05/2019   ,     1.7 hrs    ,   19.5   ,   B   ,   green   ,   350B58ED   
     TEJA GUPTA     ,     00981     ,   61   ,   ?   ,   107   ,   200   ,   107.11   ,   Pass   ,"   March 29, 2022   ",   1.1   ,   17   ,   B   ,   blue   ,   6FE35B25   
      varun agarwal      ,     S982X     ,   91   ,   89   ,   59   ,   91+89+59   ,   108.12   ,   Pass   ,   02-17-2021   ,   None   ,   17   ,   A    ,   None   ,   1E8DFBC8   
     KIRAN SHARMA     ,     S983X     ,   65   ,   89   ,   91   ,   300/300   ,   81.67   ,   Pass   ,   27/08/2020   ,   None   ,   19   ,   A    ,   None   ,   None   
      naveen gupta      ,       984        ,   40   ,   48   ,   54   ,   142   ,   47.33%   ,   Pass   ,   28/07/2024   ,     0.5 hrs    ,   None   ,   Below Avg   ,   blue   ,   73931DB7   
      devika gupta      ,     id_985    ,   74   ,   78   ,   56   ,   74+78+56   ,   69.33   ,   Pass   ,   19-Sep-2023   ,   None   ,   5   ,   Good   ,   red   ,   3972CCBE   
     Teja Rao      ,     00986     ,   46   ,   92   ,   80   ,   46+92+80   ,   None   ,   Pass   ,   None   ,   0.0   ,   19   ,   Good   ,   black   ,   5159E1FA   
      pooja rao      ,     S987X     ,   AB   ,   -18   ,   AB   ,   AB+-18+AB   ,   74.67   ,   Pass   ,   22-Jun-2018   ,   7.2   ,   18   ,   Good   ,   blue   ,   None   
     Naveen Goud      ,   None   ,   44   ,   150   ,   107   ,   173   ,   57.67%   ,   Pass   ,   None   ,    two    ,   None   ,   Average   ,   red   ,   45A974C1   
      sneha goud      ,     S989X     ,   -10   ,   150   ,   AB   ,   -10+150+AB   ,   68.67   ,   Pass   ,   09-16-2018   ,    two    ,   19   ,   B+   ,   yellow   ,   D59F5D94   
     ROHIT AGARWAL     ,     id_990    ,   AB   ,   -18   ,   None   ,   AB+-18+None   ,   61.0%   ,   Pass   ,"   June 01, 2019   ",   3.3   ,     18 years    ,   Good   ,   white   ,   9848192E   
     Suresh Gupta      ,    STU-0991    ,   60   ,   60   ,   51   ,   check   ,   57.0   ,   Pass   ,   2019-06-07   ,   2.9   ,   16   ,   Average   ,   yellow   ,   None   
